IDs,Proportions,T,logV
"[818, 890]","[0.6, 0.4]",298.15,0.4790215081393419
"[135, 219]","[0.2, 0.8]",305.65,-0.4798683178913485
"[933, 578, 981]","[0.5718, 0.221, 0.20720000000000005]",298.15,-0.2401022440316824
"[804, 741, 712, 685]","[0.3496, 0.4385, 0.0627, 0.1491]",298.15,0.6245296040957318
"[4, 985]","[0.7, 0.3]",308.107,0.6708466523827497
[273],[1.0],296.0,-0.5072396109733021
[909],[1.0],318.15,0.430196709505823
"[804, 898]","[0.45, 0.55]",305.65,-0.3171028182681988
"[578, 897]","[0.9, 0.1]",303.15,-0.5056232742229979
"[804, 1010]","[0.4, 0.6]",323.15,0.8787218393621677
"[974, 458, 981]","[0.4088, 0.5065, 0.0847]",298.15,0.1828139512573658
"[233, 936]","[0.32, 0.68]",323.15,-0.340195368432249
"[645, 754]","[0.6, 0.4]",298.0,-0.1778758444661397
"[679, 981, 578]","[0.2691, 0.4941, 0.2368]",298.15,-0.0492407399926503
[765],[1.0],305.65,0.3291827648140137
"[862, 935]","[0.7, 0.3]",303.15,-0.1543531919918577
"[86, 331]","[0.24, 0.76]",303.15,-0.4350908585438767
"[777, 920]","[0.35, 0.65]",303.15,-0.234494685294325
"[3, 872]","[0.9, 0.1]",306.433,0.2592743711939999
"[944, 981]","[0.47, 0.53]",313.75,-0.2351634393993968
"[513, 933]","[0.14, 0.86]",303.15,-0.10302196523856
"[1369, 933]","[0.99, 0.01]",299.7,-0.2309026588030225
"[219, 330]","[0.8, 0.2]",307.15,-0.4680595465197489
"[599, 928]","[0.6, 0.4]",310.65,-0.4357686437534508
"[872, 972]","[0.88, 0.12]",308.15,-0.0127835047563658
"[886, 981]","[0.94, 0.06]",309.4,-0.0871469282756383
"[901, 977]","[0.4, 0.6]",310.65,0.4839402938896313
"[944, 618, 870, 721]","[0.3036, 0.198, 0.0701, 0.4284]",313.15,-0.0328265770444604
"[474, 849]","[0.4, 0.6]",305.65,0.3104459099075193
"[882, 956]","[0.2, 0.8]",318.15,0.6921544111673973
"[233, 923]","[0.2, 0.8]",323.15,-0.3484173273129509
[981],[1.0],310.65,-0.2250490491580443
"[901, 981]","[0.75, 0.25]",303.15,0.020910144417603
"[333, 689]","[0.25, 0.75]",303.15,0.8687841653720927
"[86, 1375]","[0.6, 0.4]",303.15,-0.3187497623619297
[879],[1.0],313.35,0.0090257420869102
"[880, 961]","[0.82, 0.18]",310.5,1.5609955609337678
"[966, 890, 928]","[0.4716, 0.459, 0.0693999999999999]",298.15,0.2479732663618066
"[307, 901]","[0.5, 0.5]",303.15,0.2411441248656467
"[233, 884]","[0.3, 0.7]",323.15,0.584587917153104
"[474, 872]","[0.497, 0.503]",298.15,0.1789769472931694
"[890, 765, 961]","[0.09699999999999998, 0.1003, 0.8027]",303.15,0.3442546925569343
"[945, 984]","[0.2, 0.8]",313.15,0.4012055325012236
[1225],[1.0],308.15,-0.1781976735197701
"[458, 852]","[0.5, 0.5]",308.15,-0.0848801544388052
"[741, 859]","[0.8, 0.2]",313.0,0.3290323577342758
"[273, 972]","[0.9, 0.1]",308.15,-0.1380166545944243
"[866, 961]","[0.4, 0.6]",313.15,0.7358951696826382
"[135, 219]","[0.6, 0.4]",305.65,-0.4445193540000168
"[968, 974]","[0.8, 0.2]",308.15,0.859041681995593
"[928, 1385]","[0.5, 0.5]",308.15,0.0924930996754349
[870],[1.0],311.9,-0.269862474207655
[1008],[1.0],323.15,-0.0609802235513335
"[70, 923, 71]","[0.3684, 0.198, 0.4336]",313.15,-0.0886825576759694
"[6, 981]","[0.2, 0.8]",303.15,-0.1920520226313959
"[720, 901]","[0.6, 0.4]",308.15,0.0856146048469141
"[81, 928]","[0.6, 0.4]",313.15,-0.1356681308583414
"[944, 986]","[0.35, 0.65]",303.15,0.936461898454727
"[961, 1359]","[0.8, 0.2]",313.15,1.3504417887112825
"[232, 872]","[0.1, 0.9]",308.15,-0.1396373992005121
"[303, 701]","[0.1, 0.9]",303.15,0.8195492628209798
"[616, 667]","[0.5, 0.5]",308.15,0.1364964793584686
"[890, 906]","[0.55, 0.45]",295.65,0.3579764792357846
"[971, 979]","[0.9, 0.1]",320.65,0.2400707057905289
"[307, 972]","[0.2, 0.8]",303.15,1.4368864913360764
"[599, 646]","[0.8, 0.2]",308.15,-0.344330475182868
"[850, 1008]","[0.3, 0.7]",318.15,0.2990434940695599
"[933, 1355]","[0.28, 0.72]",298.15,0.0037709139730362
"[960, 977]","[0.3, 0.7]",306.181,0.7071090214344374
"[756, 939]","[0.7, 0.3]",300.65,-0.3600208003447658
"[889, 966]","[0.5, 0.5]",303.15,0.1818435879447439
"[197, 920]","[0.6, 0.4]",308.15,-0.3873055958850682
"[741, 916]","[0.2, 0.8]",303.65,-0.1553111756661194
"[228, 914]","[0.8, 0.2]",303.15,-0.0462458361241437
"[259, 961]","[0.5, 0.5]",304.514,0.1418469744117282
"[721, 1386]","[0.5, 0.5]",305.65,0.3470416466129737
"[197, 200]","[0.6, 0.4]",308.15,-0.4493264631133346
"[474, 966]","[0.2, 0.8]",308.15,0.1742809777280029
"[804, 902]","[0.3, 0.7]",303.15,-0.295553548047192
[764],[1.0],308.15,1.0059770089380102
"[788, 803]","[0.7, 0.3]",303.15,0.4901346396351428
"[197, 923]","[0.35, 0.65]",308.15,-0.3400134827400478
"[862, 965]","[0.3, 0.7]",298.15,-0.2134615195021976
"[273, 884]","[0.5, 0.5]",323.15,-0.0755925423415406
"[701, 858]","[0.05, 0.95]",298.15,-0.0980501101909745
"[491, 928]","[0.9, 0.1]",313.15,0.1803918550022902
"[70, 923, 71, 944, 645]","[0.1623, 0.114, 0.2195, 0.0898, 0.4144]",308.15,-0.1218230195084938
"[701, 863]","[0.3, 0.7]",298.15,0.439022938326562
"[804, 818]","[0.99, 0.01]",298.15,0.2984149854720378
"[850, 863]","[0.4, 0.6]",298.15,0.2097330418870819
"[307, 901]","[0.3, 0.7]",303.15,0.1766648246828443
"[599, 859]","[0.6, 0.4]",308.15,-0.2397660296927863
"[259, 777]","[0.3, 0.7]",303.15,-0.2180222542302033
"[213, 890]","[0.6, 0.4]",303.15,-0.1934667140047093
"[695, 890]","[0.2, 0.8]",308.15,0.0936612728184691
"[307, 1390]","[0.2, 0.8]",315.65,0.5062053716363228
"[931, 981]","[0.7, 0.3]",313.0,-0.2134555812464642
"[307, 934]","[0.8, 0.2]",303.15,0.3467812518430267
"[330, 765]","[0.5, 0.5]",298.15,0.3547530461981477
"[910, 973]","[0.1, 0.9]",303.15,0.3682235679940746
"[618, 920]","[0.2, 0.8]",309.4,-0.3059247460953455
"[777, 928]","[0.05, 0.95]",303.15,-0.2799310020268418
"[599, 635]","[0.1, 0.9]",298.15,-0.2105059988325285
"[416, 804]","[0.7, 0.3]",303.15,-0.1324647097887565
"[889, 935]","[0.9, 0.1]",303.0,0.237974610015075
"[536, 981]","[0.2, 0.8]",298.15,-0.362568876279045
"[416, 599]","[0.2, 0.8]",308.15,-0.4145760782429002
"[928, 963]","[0.4, 0.6]",293.15,0.0071967467961977
"[273, 804]","[0.3, 0.7]",308.983,-0.1487168275878151
"[88, 219]","[0.7, 0.3]",308.15,-0.3121265278886075
[981],[1.0],317.85,-0.3048276760045373
"[676, 741]","[0.6, 0.4]",308.15,0.2249677663442266
"[892, 898]","[0.9, 0.1]",303.15,0.0995319202010823
"[741, 712, 695, 685]","[0.3967, 0.1085, 0.2032, 0.2915]",298.15,0.8785562619495325
"[804, 850, 890, 961]","[0.2282, 0.2846, 0.2638, 0.22340000000000004]",303.15,0.1130752325607946
"[75, 934]","[0.4, 0.6]",303.15,-0.1601971840054198
"[340, 765]","[0.3, 0.7]",303.15,0.0935820687943444
"[326, 667]","[0.9, 0.1]",308.15,-0.0756958481043054
"[312, 781]","[0.6, 0.4]",303.15,-0.4042864882526337
"[458, 765]","[0.2, 0.8]",308.15,0.0513246949112917
"[247, 741]","[0.7, 0.3]",298.15,0.3393457427145489
"[578, 712]","[0.27, 0.73]",308.15,0.2513075145106349
"[862, 961]","[0.6, 0.4]",298.15,-0.2123320084554062
"[599, 741]","[0.7, 0.3]",303.15,-0.2988757555836991
"[81, 578]","[0.7, 0.3]",313.15,-0.2407575032316938
"[961, 972]","[0.4, 0.6]",309.15,1.1574859743086745
"[213, 981]","[0.8, 0.2]",305.65,-0.2259563888517606
"[712, 894]","[0.5, 0.5]",313.15,0.022726732030038
"[273, 1392]","[0.1, 0.9]",298.15,0.4836563134409762
"[659, 784]","[0.3, 0.7]",308.15,-0.1836392897289416
"[819, 872]","[0.51, 0.49]",298.15,0.1954662401880055
"[898, 939]","[0.1, 0.9]",298.15,-0.3790208372834613
"[510, 961]","[0.12, 0.88]",313.15,0.2014786716765559
"[873, 961]","[0.35, 0.65]",313.15,0.6293272785769566
[788],[1.0],298.15,0.7186677353162108
"[939, 981]","[0.7, 0.3]",298.15,-0.3562858440188917
"[9, 741]","[0.8, 0.2]",293.15,0.0940121285003921
"[920, 936]","[0.16, 0.84]",298.15,-0.2410737068403814
"[689, 862]","[0.8, 0.2]",303.15,0.673483381116626
"[365, 952]","[0.9, 0.1]",305.65,1.508168573413567
"[721, 961]","[0.0003, 0.9997]",313.15,-0.1844222516757327
"[981, 870, 599, 71]","[0.1387, 0.3377, 0.2186, 0.30500000000000005]",313.15,-0.2532879774833395
"[676, 777]","[0.37, 0.63]",298.15,0.0147154201328922
"[81, 918]","[0.4, 0.6]",313.15,-0.1755447215337941
"[784, 804]","[0.32, 0.68]",295.65,0.0162410186552202
"[890, 918]","[0.3, 0.7]",293.15,-0.1569263731520678
"[330, 679]","[0.3, 0.7]",308.15,0.2841570314765694
"[721, 892]","[0.2, 0.8]",303.15,0.1251333327389795
"[578, 910]","[0.1, 0.9]",298.15,-0.0706900624180726
"[70, 920, 944, 804, 701]","[0.2767, 0.2521, 0.162, 0.1865, 0.1226]",298.15,-0.0414361167780325
"[667, 971]","[0.1, 0.9]",320.65,0.2127279124423029
"[1364, 342]","[0.6, 0.4]",308.15,0.1846445503666053
"[529, 910]","[0.9, 0.1]",313.15,0.1986631417021477
"[721, 992]","[0.5, 0.5]",295.65,0.2806450033516611
"[132, 933]","[0.91, 0.09]",306.15,-0.4706561750138872
"[70, 923, 71, 645]","[0.403, 0.1176, 0.1903, 0.2891]",298.15,-0.095284454721319
"[850, 804, 961]","[0.0532, 0.1606, 0.7862]",303.15,0.3329751181813887
"[458, 756]","[0.1, 0.9]",303.15,-0.1819390198195642
"[1225, 933]","[0.3, 0.7]",298.15,-0.1507343382018382
"[1228, 984]","[0.1, 0.9]",313.15,0.4410351824815297
[472],[1.0],298.0,-0.410069914522725
"[416, 599]","[0.44, 0.56]",293.15,-0.2972296818754327
"[679, 1400, 578]","[0.3271, 0.2734, 0.39949999999999997]",298.15,0.0530028004767591
"[267, 667]","[0.8, 0.2]",308.15,-0.0343303228533204
"[721, 914]","[0.9, 0.1]",308.075,0.4554272382035652
"[897, 919]","[0.16, 0.84]",298.15,-0.1425920254365859
"[599, 721]","[0.34, 0.66]",303.15,0.1700472949014866
"[928, 981]","[0.23, 0.77]",323.15,-0.3726695427185751
"[850, 901]","[0.8, 0.2]",308.15,-0.0570813160110977
"[914, 273, 936]","[0.7262, 0.1551, 0.11870000000000003]",298.15,0.1177067906315933
"[741, 960]","[0.1, 0.9]",308.15,0.3396959683337586
"[1375, 804]","[0.1, 0.9]",313.15,0.0930954422027483
"[862, 936]","[0.5, 0.5]",303.15,-0.2785213482304564
"[890, 765, 961]","[0.0947, 0.0979, 0.8074]",303.15,0.3461964437292096
"[667, 858]","[0.98, 0.02]",298.15,0.1121576888659789
"[679, 933, 981]","[0.1551, 0.41, 0.43490000000000006]",298.15,0.0077302778842591
"[884, 936]","[0.9, 0.1]",323.15,0.3017690856945305
"[850, 970, 974]","[0.4799, 0.4799, 0.0402]",308.15,1.0274637734765732
"[578, 943]","[0.2, 0.8]",308.15,-0.1501736109838678
"[303, 70, 981]","[0.0724, 0.8794, 0.04820000000000002]",298.15,0.2203696324513945
"[863, 1324]","[0.9, 0.1]",298.15,0.450302181324927
"[689, 1375]","[0.6, 0.4]",308.15,0.5220095571400433
"[618, 784]","[0.47, 0.53]",308.15,-0.2989482998103901
"[86, 944]","[0.1, 0.9]",303.15,-0.1585785022878721
"[536, 578]","[0.2, 0.8]",298.15,-0.5512399299670326
"[862, 928]","[0.4, 0.6]",298.15,-0.3122356835716932
"[689, 944]","[0.9, 0.1]",305.65,0.8507515492236385
"[961, 862, 850]","[0.2701, 0.1, 0.6299]",318.15,-0.1018235165023234
"[81, 933]","[0.5, 0.5]",310.65,0.0028182135390565
"[618, 850]","[0.6, 0.4]",298.15,-0.2327913798750802
"[1375, 804]","[0.15, 0.85]",298.15,0.1810269518597753
"[765, 712, 689, 685]","[0.3503, 0.1369, 0.2603, 0.25250000000000006]",313.15,0.6638704649757058
"[70, 741]","[0.8, 0.2]",318.15,-0.1231288294994092
"[645, 799]","[0.4, 0.6]",308.15,-0.1076851901886142
"[330, 916]","[0.8, 0.2]",303.15,0.0226344910310071
"[358, 872]","[0.55, 0.45]",308.15,0.5975107372933475
"[578, 870]","[0.8, 0.2]",309.817,-0.5411178326663765
"[863, 920]","[0.66, 0.34]",303.15,0.002847340701879
"[331, 850, 416]","[0.8, 0.05, 0.1499999999999999]",298.15,-0.4584207560534191
"[777, 933]","[0.2, 0.8]",313.15,-0.1589169271835346
"[850, 961]","[0.2, 0.8]",312.15,0.2040586403846445
"[536, 578, 981, 928]","[0.1492, 0.1384, 0.3421, 0.3703000000000001]",298.15,-0.3870043439676525
"[9, 981]","[0.1, 0.9]",303.15,-0.2097607607058793
"[70, 75]","[0.6, 0.4]",313.15,-0.2743472998087519
"[920, 1353]","[0.9, 0.1]",308.15,-0.222622173770307
[796],[1.0],298.0,-0.0100638821717166
"[859, 910]","[0.1, 0.9]",308.15,-0.0448966482471203
"[898, 966]","[0.24, 0.76]",303.15,0.0748935340547451
